id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
399566,False,/iopYFB1b6Bh7FWZh3onQhph1sih.jpg,"[28, 878]",en,Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",11701.435,/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg,2021-03-24,Godzilla vs. Kong,False,8.7,1236
791373,False,/pcDc2WJAYGJTTvRSEIpRZwM3Ola.jpg,"[28, 12, 14, 878]",en,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",7337.834,/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,2021-03-18,Zack Snyder's Justice League,False,8.6,4179
527774,False,/hJuDvwzS0SPlsE6MNFOpznQltDZ.jpg,"[16, 12, 14, 10751, 28]",en,Raya and the Last Dragon,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",2582.87,/lPsD10PP4rgUGiGR4CCXA6iY0QQ.jpg,2021-03-03,Raya and the Last Dragon,False,8.3,1865
581389,False,/drulhSX7P5TQlEMQZ3JoXKSDEfz.jpg,"[18, 14, 878]",ko,승리호,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.",2844.896,/1e1tUWInXCVrrwY6ntuNRuwEj7P.jpg,2021-02-05,Space Sweepers,False,7.2,452
793723,False,/gzJnMEMkHowkUndn9gCr8ghQPzN.jpg,"[53, 28, 18]",fr,Sentinelle,"Transferred home after a traumatizing combat mission, a highly trained French soldier uses her lethal skills to hunt down the man who hurt her sister.",1823.28,/fFRq98cW9lTo6di2o4lK1qUAWaN.jpg,2021-03-05,Sentinelle,False,6.0,300
458576,False,/z8TvnEVRenMSTemxYZwLGqFofgF.jpg,"[14, 28, 12]",en,Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",1720.013,/1UCOF11QCw8kcqvce8LKOO6pimh.jpg,2020-12-03,Monster Hunter,False,7.1,1307
587807,False,/fev8UFNFFYsD5q7AcYS8LyTzqwl.jpg,"[28, 35, 10751]",en,Tom & Jerry,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",1625.778,/6KErczPBROQty7QoIsaa6wJYXZi.jpg,2021-02-11,Tom & Jerry,False,7.4,1041
464052,False,/egg7KFi18TSQc1s24RMmR9i2zO6.jpg,"[14, 28, 12]",en,Wonder Woman 1984,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,1689.501,/8UlWHLMpgZm9bx6QYh0NFoq67TZ.jpg,2020-12-16,Wonder Woman 1984,False,6.8,4568
587996,False,/6TPZSJ06OEXeelx1U1VIAt0j9Ry.jpg,"[28, 80, 53]",es,Bajocero,"When a prisoner transfer van is attacked, the cop in charge must fight those inside and outside while dealing with a silent foe: the icy temperatures.",1418.339,/dWSnsAGTfc8U27bWsy2RfwZs0Bs.jpg,2021-01-29,Below Zero,False,6.5,489
544401,False,/uQtqiAu2bBlokqjlURVLEha6zoi.jpg,"[80, 18]",en,Cherry,"Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world.",1424.756,/pwDvkDyaHEU9V7cApQhbcSJMG1w.jpg,2021-02-26,Cherry,False,7.6,410
