id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
427641,False,/wrqUiMXttHE4UBFMhLHlN601MZh.jpg,[28],en,Rampage,"Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.",238.101,/MGADip4thVSErP34FAAfzFBTZ5.jpg,2018-04-12,Rampage,False,6.4,5158
714277,False,/3GW0A72MxsSgghqpjc2O2MvO8Ec.jpg,"[27, 35]",es,La Funeraria,"Bernardo is an undertaker. He runs his mortuary business in the same house where he resides. In the front, he has his clients. And in the back, his dysfunctional family lives amongst coffins, wreaths, and the mischievous but nonviolent ghosts that visit on a daily basis. But when a malevolent entity enters the scene, it wreaks havoc on the already fractured household.",284.133,/1rlgIzw129hEl46bFaJZ7wpEEZZ.jpg,2021-04-22,The Funeral Home,False,0.0,0
335983,False,/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg,"[878, 28]",en,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",292.74,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,2018-09-28,Venom,False,6.8,10539
443791,False,/ww7eC3BqSbFsyE5H5qMde8WkxJ2.jpg,"[28, 27, 878, 53]",en,Underwater,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",282.344,/gzlbb3yeVISpQ3REd3Ga1scWGTU.jpg,2020-01-08,Underwater,False,6.3,1993
254,False,/b9XoSklkXIDIOQh6otfs0l8YLCH.jpg,"[12, 18, 28]",en,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",287.677,/lBtlVlECMW98tz3a3O1C2s1vric.jpg,2005-12-12,King Kong,False,6.8,5909
429617,False,/8XiTPU1zfy41Xgg96TCHXj4uQJf.jpg,"[28, 12, 878]",en,Spider-Man: Far from Home,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",307.382,/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,2019-06-28,Spider-Man: Far from Home,False,7.5,9511
337401,False,/zMrk2G3XsnfYKiIp1NEfdtvDyBH.jpg,"[12, 14]",en,Mulan,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",284.749,/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg,2020-09-04,Mulan,False,7.0,4544
700995,False,/nWlhFPdaWXWkhZrnELgboEqV0dp.jpg,"[878, 53, 28]",es,"Devoto, la invasión silenciosa","Five strangers wake up locked in a strange building. They don't know who took them there or for what purpose. Throughout a night they will discover with surprise that an invasion is taking place outside that complex. And this motley group of strangers, for a reason they will have to figure out, are the ones chosen to try to stop it.",279.339,/ppqef9A3tg3PJiIA82gTiA7n9Fi.jpg,2020-05-07,"Devoto, la invasión silenciosa",False,2.9,5
723072,False,/5TbtcmRySXPAEXBzwhiOYYDQmgv.jpg,"[27, 9648]",en,Host,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realize they might not survive the night.",268.908,/h7dZpJDORYs5c56dydbrLFkEXpE.jpg,2020-12-04,Host,False,6.6,236
618353,False,/kU7ZiyeUwcpTkYj3UcxSqGdZmxY.jpg,"[16, 28]",en,Batman: Death in the Family,Tragedy strikes the Batman's life again when Robin Jason Todd tracks down his birth mother only to run afoul of the Joker. An adaptation of the 1988 comic book storyline of the same name.,300.536,/k8Q9ulyRE8fkvZMkAM9LPYMKctb.jpg,2020-10-13,Batman: Death in the Family,False,7.3,192
581392,False,/d2UxKyaJ5GgzuHaSsWinFfv3g6L.jpg,"[28, 27, 53]",ko,반도,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,268.867,/7S9RvfMBWSTlUZ4VbxDY7oLeenk.jpg,2020-07-15,Peninsula,False,7.0,1341
290859,False,/a6cDxdwaQIFjSkXf7uskg78ZyTq.jpg,"[28, 12, 878]",en,Terminator: Dark Fate,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.",291.36,/vqzNJRH4YyquRiWxCCOH0aXggHI.jpg,2019-10-23,Terminator: Dark Fate,False,6.5,3367
293167,False,/x0RApsCncKWEMZgkqV6l8ZpCJ80.jpg,"[28, 12, 14]",en,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",252.433,/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg,2017-03-08,Kong: Skull Island,False,6.5,8010
340102,False,/lrNbt21hRirjyTK0SeLA0L4RAVS.jpg,"[28, 27, 878]",en,The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",273.188,/xZNw9xxtwbEf25NYoz52KdbXHPM.jpg,2020-08-26,The New Mutants,False,6.4,1726
749618,False,/fZHvSNUBKSgRAduB5k0fFST1xYn.jpg,"[16, 10751]",es,El camino de Xico,"The peace of a small town is endangered when a corporation wants to destroy the mountain that protects them. A girl named Copi and her best friend Xico, a Xoloitzcuintle dog, will go into the mountains to try to save the town.",267.112,/g8ZyfUC0THygJkVoO2J7NxsdPI5.jpg,2020-11-12,Xico's Journey,False,7.1,57
802443,False,/h9idnfOs9nt8Nj2agbOjlOqTGAc.jpg,"[18, 53]",en,Deadly Illusions,"A bestselling female novelist, suffering from writer's block, hires an innocent young woman to watch over her twin children. As the novelist dangerously indulges in her new best seller, the line between the life she's writing and the one she's living becomes blurred.",247.674,/wj0PpS8cvXCNB3Wvhe6w5k0Nnke.jpg,2021-03-18,Deadly Illusions,False,5.1,119
509967,False,/eFw5YSorHidsajLTayo1noueIxI.jpg,"[28, 53, 35]",en,6 Underground,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",262.974,/lnWkyG3LLgbbrIEeyl5mK5VRFe4.jpg,2019-12-10,6 Underground,False,6.3,2988
662334,False,/dT05ycGuf4h1uYYAJttxTFKkfBQ.jpg,"[10752, 18]",es,Chaco,"In 1934, Bolivia is at war with Paraguay. Liborio and Ticona and other Bolivian indigenous soldiers are lost in the hell of the Chaco, under the commandment of German Captain Kundt. They're looking for the Paraguayan enemy that they haven't seen for months, and that they will never find. They leave together in a search that will make them realize, progressively, the destiny they have been pushed into and the inevitable condition of a defeated troop. They're walking like shadows, wandering forever in the middle of dust and silence.",255.324,/hCR2i9rK6P4VHMfFw2MT5jDGJcN.jpg,2020-01-28,Chaco,False,7.9,40
632357,False,/zDq2pwPyt4xwSFHKUoNN2LohDWj.jpg,[27],en,The Unholy,"Alice, a young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",388.408,/pIr6xlGIePQ7JxIqc7jz7z5ql8y.jpg,2021-03-31,The Unholy,False,7.4,5
632632,False,/u1wHUA0R48FH4WV3sGqjwx3aNZm.jpg,"[16, 18, 10402, 10749]",ja,映画 ギヴン,"The film centers on the love relationship among the band's bassist Haruki Nakayama, drummer Akihiko Kaji, and Akihiko's roommate and ex-boyfriend Ugetsu Murata.",242.79,/xKCtoYHUyX8zAg68eemnYa2orep.jpg,2020-08-22,Given,False,8.9,135
765169,False,/wsqeMBw7ISNLvAD6EK0xwarJsrH.jpg,"[35, 18, 10751]",es,BIA: Un Mundo al Revés,"In this alternate world, Bia and Manuel will have a tempestuous relationship. Pixie, the hateful and stunning owner of Laix, decides to buy the Fundom. The great conflict erupts when Pixie announces a concert. This will have Bia and Helena, who in this upside down universe are divas and rivals, fighting to be the headliner in the final show.",243.717,/eIxLHFMAsdbZGZws0duowTa4N6k.jpg,2021-02-19,BIA: An Upside Down World,False,8.2,74
287947,False,/qwgGtdlLMKYvT2tV8hLY22syRHN.jpg,"[28, 35, 14]",en,Shazam!,A boy is given the ability to become an adult superhero in times of need with a single magic word.,244.305,/xnopI5Xtky18MPhK40cZAGAOVeV.jpg,2019-03-29,Shazam!,False,7.1,6281
741074,False,/DA7gzvlBoxMNL0XmGgTZOyv67P.jpg,"[16, 10751, 35, 14]",en,Once Upon a Snowman,"The previously untold origins of Olaf, the innocent and insightful, summer-loving snowman are revealed as we follow Olaf’s first steps as he comes to life and searches for his identity in the snowy mountains outside Arendelle.",248.154,/hddzYJtfYYeMDOQVcH58n8m1W3A.jpg,2020-10-23,Once Upon a Snowman,False,6.8,324
594718,False,/mBbA77FyzhU0Tz9tmbKG8heGmh3.jpg,"[878, 18, 27]",ru,Спутник,"At the height of the Cold War, a Soviet spacecraft crash lands after a mission gone awry, leaving the commander as its only survivor. After a renowned Russian psychologist is brought in to evaluate the commander’s mental state, it becomes clear that something dangerous may have come back to Earth with him…",238.239,/eAUzmhP54bE1vPXaY7FbuZREJlR.jpg,2020-09-08,Sputnik,False,6.6,252
687149,False,/pU15NMZueYMpcnJmBSB63a8uIMV.jpg,"[878, 53]",es,Tóxico,"In the middle of a mysterious insomnia epidemic that slowly takes on catastrophic dimensions, Laura (39) and Augusto (42) flee the city in their motorhome to get away from the chaos. As they move down the route, the world becomes an increasingly strange and dangerous place. Finally, Laura reveals a story that changes everything. The road is depopulating, the silence grows and it is increasingly difficult to differentiate the reality from the dream.",234.385,/mcOuxJptI7UsL4XYwajSieNrkYc.jpg,2020-04-23,Toxic,False,7.4,21
458156,False,/vVpEOvdxVBP2aV166j5Xlvb5Cdc.jpg,"[28, 53, 80]",en,John Wick: Chapter 3 - Parabellum,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",250.987,/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,2019-05-15,John Wick: Chapter 3 - Parabellum,False,7.4,6553
581734,False,/bjjZXrP8PEdFeJkKERc62xlarMI.jpg,"[18, 37]",en,Nomadland,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",221.528,/fmHBjfiMb7cP0cikF17LoA8E1bp.jpg,2020-12-26,Nomadland,False,7.6,405
621013,False,/pGTXJcZQIgqzFZlWy6KxlamlTHK.jpg,"[18, 10749]",en,Chemical Hearts,"When a hopelessly romantic high school senior falls for a mysterious new classmate, it sets them both on an unexpected journey that teaches them about love, loss, and most importantly themselves.",236.154,/q1MNlZYqhoD4U7sd7pjxD6SUf4z.jpg,2020-08-21,Chemical Hearts,False,7.6,759
615,False,/pE3dLJJ55Y2eiO5s7wYe9J3qS63.jpg,[18],en,The Passion of the Christ,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,247.156,/2C9vyK6leWDb2ds65R7uIwSmh8V.jpg,2004-02-25,The Passion of the Christ,False,7.3,2841
659067,False,/mnq5O3MyfHIJvunmE0fRhMrQQ89.jpg,"[28, 53]",fr,La Terre et le Sang,A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.,243.244,/23S0NEXXOMhhXhF566Pw5sx7hnZ.jpg,2020-04-17,Earth and Blood,False,6.3,229
141052,False,/jorgjEk6a0bed6jdR5wu4S6ZvRm.jpg,"[28, 12, 14, 878]",en,Justice League,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",203.136,/eifGNCSDuxJeS1loAXil5bIGgvC.jpg,2017-11-15,Justice League,False,6.2,10360
611914,False,/ne4QPHn56Z1vxk6iKJKvDnmNI9Y.jpg,"[28, 80, 18, 53]",en,The Courier,"This intense action-thriller unfolds in real time as two embattled souls fight for their lives. Gary Oldman stars as a vicious crime boss out to kill Nick, the lone witness set to testify against him. He hires a mysterious female motorcycle courier to unknowingly deliver a poison-gas bomb to slay Nick, but after she rescues Nick from certain death, the duo must confront an army of ruthless hired killers in order to survive the night.",233.174,/cmC7bJZ5sCzx9ZsrlXOrYJfYtLc.jpg,2019-11-22,The Courier,False,6.3,346
741228,False,/4qu4kO5HVTKMK2hvmCXeviZ233l.jpg,"[35, 80, 18]",en,Locked Down,"During a COVID-19 lockdown, sparring couple Linda and Paxton call a truce to attempt a high-risk jewellery heist at one of the world's most exclusive department stores, Harrods.",221.773,/svHelD0Hb3TXPAQoPsoBwdDMTvf.jpg,2021-02-25,Locked Down,False,5.1,22
725649,False,/sdVZxrCFK6MB62Kxv3v9BUbCng3.jpg,"[35, 18, 80]",es,Lavaperros,"When a narco past his prime refuses to pay a debt to an upstart, only a secret stash of money can save his men. But guess what the gardener just found?",206.974,/1kzUhxh9waTvbV4yW1fU1TaaC1z.jpg,2020-10-09,Dogwashers,False,6.5,16
